#zeit	rezipwnt	abschirmung	strom	spannung	
0	27.3	25.5	146.5	15.36	
6:14	31.3	30.9	147.8	15.52
12:59	35.5	35.2	148.3	15.60
20:09	39.7	39.5	148.8	15.66
27:25	43.8	43.6	149.1	15.71
24:56	47.9	48.2	149.3	15.74
42:39	52.0	52.3	149.5	15.77
50:44	56.1	56.1	149.7	15.79
58:49	60.2	60.4	149.8	15.81
1:07:05	64.3	64.7	149.9	15.83
1:15:33	68.3	67.6	149.9	15.84
1:24.17	72.3	72.8	150.0	15.85
1.32:24	76.3	78.4	150.1	15.85
1:40:58	80.3	79.8	150.1	15.86
1:49:55	84.2	85.6	150.2	15.86
1:58:08	88.2	88.3	150.2	15.86
2:06:56	92.1	92.4	150.2	15.85
2:15:55	96.1	95.9	150.3	15.85
2:24:39	100.0	100.3	150.3	15.85
2:34:09	103.9	104.3	150.3	15.85
2:43:27	108.0	108.4	150.4	15.84

			
